# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-0.9837747	3.7710357e-05	0	-0.055999998	0	0
0	-0.9840588	2.8641276e-05	0	-0.057000015	0	0
0	-0.9843361	2.079063e-05	0	-0.057999972	0	0
0	-0.98460704	1.4295373e-05	0	-0.05900001	0	0
0	-0.9848717	8.884786e-06	0	-0.059999973	0	0
0	-0.98513037	4.287276e-06	0	-0.060999993	0	0
0	-0.98538333	2.632258e-07	0	-0.06200001	0	0
0	-0.98563045	-3.0853876e-06	0	-0.062999986	0	0
0	-0.98587227	-5.8275605e-06	0	-0.064	0	0
0	-0.98610884	-8.130601e-06	0	-0.06500003	0	0
0	-0.9863403	-1.008616e-05	0	-0.06599999	0	0
0	-0.9865668	-1.1731525e-05	0	-0.067000024	0	0
0	-0.9867885	-1.3068994e-05	0	-0.067999996	0	0
0	-0.9870056	-1.4227968e-05	0	-0.069	0	0
0	-0.9872182	-1.5168457e-05	0	-0.070000015	0	0
0	-0.98742646	-1.5918264e-05	0	-0.071	0	0
0	-0.9876305	-1.6518852e-05	0	-0.07200002	0	0
0	-0.9878304	-1.698768e-05	0	-0.07299998	0	0
0	-0.9880264	-1.7361688e-05	0	-0.07399999	0	0
0	-0.98821855	-1.765355e-05	0	-0.075000025	0	0
0	-0.9880267	-1.8266286e-05	0	-0.07399999	0	0
0	-0.9878307	-1.8834531e-05	0	-0.07299998	0	0
0	-0.9876307	-1.937594e-05	0	-0.07200002	0	0
0	-0.9874267	-1.988246e-05	0	-0.071	0	0
0	-0.98721844	-2.0366648e-05	0	-0.070000015	0	0
0	-0.98700583	-2.0829008e-05	0	-0.069	0	0
0	-0.98678875	-2.1277212e-05	0	-0.067999996	0	0
0	-0.986567	-2.1709247e-05	0	-0.067000024	0	0
0	-0.9863404	-2.2167356e-05	0	-0.06599999	0	0
0	-0.98610896	-2.2621738e-05	0	-0.06500003	0	0
0	-0.9858726	-2.3027404e-05	0	-0.064	0	0
0	-0.9856307	-2.3457413e-05	0	-0.062999986	0	0
0	-0.9853835	-2.3868097e-05	0	-0.06200001	0	0
0	-0.98513067	-2.4280242e-05	0	-0.060999993	0	0
0	-0.98487204	-2.4696266e-05	0	-0.059999973	0	0
0	-0.98460734	-2.5118843e-05	0	-0.05900001	0	0
0	-0.98433644	-2.5547482e-05	0	-0.057999972	0	0
0	-0.98405904	-2.5986243e-05	0	-0.057000015	0	0
0	-0.983775	-2.6429407e-05	0	-0.055999998	0	0
0	-0.983484	-2.68906e-05	0	-0.05499998	0	0
0	-0.98318577	-2.7359105e-05	0	-0.054000016	0	0
0	-0.9828802	-2.7843698e-05	0	-0.052999977	0	0
0	-0.98256683	-2.8343857e-05	0	-0.052000012	0	0
0	-0.9822454	-2.8857608e-05	0	-0.051	0	0
0	-0.9819157	-2.9392166e-05	0	-0.049999986	0	0
0	-0.9815773	-2.9943656e-05	0	-0.049000017	0	0
0	-0.9812298	-3.0516105e-05	0	-0.047999986	0	0
0	-0.9808729	-3.1109532e-05	0	-0.047000017	0	0
0	-0.9805063	-3.1730706e-05	0	-0.046	0	0
0	-0.98012966	-3.238077e-05	0	-0.04499999	0	0
0	-0.97974217	-3.3052427e-05	0	-0.044000022	0	0
0	-0.9793437	-3.375655e-05	0	-0.04299999	0	0
0	-0.9789338	-3.4490833e-05	0	-0.042000018	0	0
0	-0.97851175	-3.5265653e-05	0	-0.041000005	0	0
0	-0.9780772	-3.606945e-05	0	-0.039999995	0	0
0	-0.9776295	-3.6918518e-05	0	-0.039	0	0
0	-0.9771679	-3.7816055e-05	0	-0.03799999	0	0
0	-0.9766921	-3.8754744e-05	0	-0.036999997	0	0
0	-0.97620094	-3.9751714e-05	0	-0.03600001	0	0
0	-0.975694	-4.0817325e-05	0	-0.035000008	0	0
0	-0.9751707	-4.193843e-05	0	-0.033999998	0	0
0	-0.9746298	-4.3131302e-05	0	-0.032999996	0	0
0	-0.9740705	-4.44022e-05	0	-0.032	0	0
0	-0.97349197	-4.576903e-05	0	-0.031000005	0	0
0	-0.9728931	-4.7242087e-05	0	-0.029999986	0	0
0	-0.97227293	-4.8812828e-05	0	-0.028999986	0	0
0	-0.9716301	-5.0517017e-05	0	-0.027999999	0	0
0	-0.97096336	-5.236758e-05	0	-0.027000008	0	0
0	-0.97027147	-5.4384607e-05	0	-0.026000006	0	0
